int(self),self.nb_electrical,self.nb_activeCS_Cparking,self.nb_solar,self.nb_wind,self.off_grid_C,self.off_grid_J,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency,self.payback_period,self.payback_period_norm,self.off_grid_C,self.off_grid_J,self.metric
0,30,15,180,4,false,false,0.9687659033078888,44379576.63470634,21710333.33333313,7825792.07810655,0.9999999999999986,0.36046393014570427,51.424555461289415,0.23967777211969957,false,false,1.5689076055732927
1,30,15,180,4,false,false,0.8885076755305762,35568429.96804019,14963666.666666625,7825792.078106548,0.9999999999999983,0.5229862608166382,64.16364180400028,0.16824679100051435,false,false,1.5797407273477289
2,30,15,180,4,false,false,0.7688337108184427,21279468.783813786,8559833.33333337,4933866.821448021,0.6304622934272697,0.5763975336102338,107.24891787411319,0.05083670694802538,false,false,1.3960679513767018
3,30,15,180,4,false,false,0.7868667709998979,28402516.79155908,11111833.333333427,6783615.971152792,0.8668280352260621,0.6104857558296172,80.35203417882478,0.10731348630434553,false,false,1.5046660131338605
4,30,15,180,4,false,false,0.7069730910115527,32783724.80771393,13024000.000000006,7703049.035812844,0.9843155758460409,0.5914503252313299,69.61381030940706,0.14460969086989797,false,false,1.4430331071127804
5,30,15,180,4,false,false,0.8254344443682675,34524814.3975741,14175333.33333332,7818933.982873311,0.9991236548115767,0.5515873100837124,66.1031794036338,0.15942217165055397,false,false,1.536443926102534
6,30,15,180,4,false,false,0.8513363746819631,40081748.30137295,18419499.999999825,7825792.078106543,0.9999999999999977,0.4248645228212828,56.938634084527344,0.20563989455289974,false,false,1.4818407920561456
7,30,15,180,4,false,false,0.7832568288619046,34464956.06424077,14129499.999999994,7818933.982873305,0.9991236548115758,0.5533765513905876,66.21798663390447,0.15891456986427677,false,false,1.495547950116769
8,30,15,180,4,false,false,0.8117965736071225,38224543.44473862,17181999.99999988,7708159.156371774,0.984968560298979,0.44861827239971064,59.7050950601774,0.19042918938476783,false,false,1.450844035391601
9,30,15,180,4,false,false,0.7750581915714384,32590193.06424088,12694000.000000022,7818933.982873311,0.9991236548115767,0.6159550955469747,70.02720098961645,0.14295862482313998,false,false,1.5339719119415531
10,30,12,180,4,false,false,0.8406973583219669,36928502.47512408,16217666.666666573,7689749.377805969,0.9826161110667399,0.4741588007608583,61.800502241793964,0.17966152448507164,false,false,1.4945176835678968
11,30,12,180,4,false,false,0.7128103872378684,23515156.526943065,9808333.333333382,5228667.574561356,0.6681326979270351,0.5330842047131347,97.05229890284224,0.0674818104829117,false,false,1.313376402433915
12,30,12,180,4,false,false,0.6311571538196925,35335199.06424068,14794999.999999972,7818933.9828733085,0.9991236548115764,0.5284848923875176,64.58715559662978,0.1662790869816011,false,false,1.3259211331888112
13,30,12,180,4,false,false,0.7253326040164599,33039033.397574186,13036833.333333353,7818933.9828733085,0.9991236548115764,0.5997571483008372,69.07587072954638,0.14678678505253906,false,false,1.4718765373698361
14,30,12,180,4,false,false,0.7602525236916569,35794805.8215445,15143333.33333332,7821219.69491355,0.9994157290217559,0.5164793987396141,63.75785390142748,0.17015397828509266,false,false,1.4468859007163637
15,30,12,180,4,false,false,0.8535055605722424,39051843.301933795,17631166.666666593,7825088.483130379,0.9999100928098831,0.4438213665080063,58.44026317413264,0.19723869307242609,false,false,1.4945656201526747
16,30,12,180,4,false,false,0.797947980772408,38995820.96804,17587166.666666586,7825792.078106548,0.9999999999999983,0.4449717357224444,58.52421986115985,0.19677924271791192,false,false,1.4396989592127643
17,30,12,180,4,false,false,0.8919096171004568,37798968.06424042,16681499.99999992,7818933.982873313,0.999123654811577,0.46871887916993976,60.377309669442205,0.18690636848354805,false,false,1.5475348647539446
18,30,12,180,4,false,false,0.7618302850995177,33831243.968040444,13632666.666666687,7825792.078106547,0.9999999999999982,0.5740470495945915,67.45835305837228,0.15353247965249986,false,false,1.4894098143466092
19,30,12,180,4,false,false,0.7741202817538689,31255025.230050575,12356666.666666724,7381788.789678049,0.9432641087321173,0.5973932120052345,73.0186580622481,0.1315595001224967,false,false,1.5030729938816003
20,30,18,180,4,false,false,0.8880211455211456,32787822.73090763,12846166.666666716,7818933.982873303,0.9991236548115757,0.6086589241568774,69.6051097607244,0.14464464463955795,false,false,1.6413247143175809
21,30,18,180,4,false,false,0.7895884627927984,39843817.82154391,18245333.33333318,7821219.694913551,0.999415729021756,0.4286695974265721,57.27864759902587,0.2037068060020249,false,false,1.4219648662213953
22,30,18,180,4,false,false,0.704942354509864,35495499.96804019,14908666.666666623,7825792.078106556,0.9999999999999993,0.5249156247891548,64.29547413206944,0.1676317964637033,false,false,1.397489775762722
23,30,18,180,4,false,false,0.7109824790594008,28759219.170079127,9766166.66666671,7815945.422195682,0.9987417687803865,0.8003084207924277,79.35542291684969,0.11032581867860344,false,false,1.6216167185304318
24,30,18,180,4,false,false,0.8322623940944558,36173894.11140563,15612666.666666633,7708159.156371777,0.9849685602989793,0.4937118892590499,63.089696480325074,0.1733415126369658,false,false,1.4993157959904715
25,30,18,180,4,false,false,0.9765809759018105,38785313.96803981,17427666.666666523,7825792.078106545,0.999999999999998,0.4490441679765857,58.84185962451141,0.1950506324211195,false,false,1.6206757762995156
26,30,18,180,4,false,false,0.8140736975941275,34722444.064240776,14327499.999999998,7818933.9828733085,0.9991236548115764,0.5457291211218502,65.72694006728473,0.1610970444215655,false,false,1.5208998631375434
27,30,18,180,4,false,false,0.8977835565621837,34911596.39757403,14472333.333333308,7818933.982873313,0.999123654811577,0.5402676819821725,65.37082905090492,0.16269851979988104,false,false,1.6007497583442372
28,30,18,180,4,false,false,0.8167216583247123,31433399.212262366,12540000.000000047,7353062.898452329,0.9395934398798125,0.5863686521891789,72.60430170433808,0.13308248454402,false,false,1.5361727950579112
29,30,18,180,4,false,false,0.7776535950099626,35446016.77807228,15055333.333333286,7708159.156371767,0.9849685602989781,0.5119886080041486,64.38523161259184,0.16721436684687016,false,false,1.4568565698609812
30,30,15,150,4,false,false,0.8258710601430334,33757881.97336674,15623666.66666662,6521493.398422128,0.9999999999999992,0.41741119658779285,57.84723110118877,0.2005147376218238,false,false,1.4437969943526499
31,30,15,150,4,false,false,0.8853244084160108,34062223.77575596,15865666.666666612,6515778.319061096,0.9991236548115775,0.41068418087659636,57.33037316811711,0.203414325882401,false,false,1.4994229151750083
32,30,15,150,4,false,false,0.749955579551167,33470561.973366864,15403666.666666655,6521493.398422135,1.0000000000000004,0.423372794253888,58.34380676230888,0.1977678721437327,false,false,1.3710962459487877
33,30,15,150,4,false,false,0.7950681176448088,38908354.44242208,19576333.33333313,6515778.319061102,0.9991236548115785,0.33283956745702314,50.18973503209499,0.24804147560758882,false,false,1.3759491607094207
34,30,15,150,4,false,false,0.9871990604815032,37138680.64003311,18212333.333333228,6521493.398422135,1.0000000000000004,0.35808115737076557,52.58129708288579,0.23209892771580237,false,false,1.577379145568071
35,30,15,150,4,false,false,0.8559311902486579,38077259.30669975,18930999.99999987,6521493.398422128,0.9999999999999992,0.34448752830923735,51.285203703103754,0.24060733448728613,false,false,1.4410260530451815
36,30,15,150,4,false,false,0.8831649266763779,32770956.910658576,14956333.33333327,6465179.230840474,0.9913648356072425,0.43227033569996004,59.589349353569304,0.19104243472710356,false,false,1.5064776971034415
37,30,15,150,4,false,false,0.756325646239207,23658549.413583413,9817500.00000006,5293343.621400621,0.8116766050367143,0.539174292987073,82.54098617216201,0.10098279012628819,false,false,1.396482729352568
38,30,15,150,4,false,false,0.8242940921307793,32398166.426171385,14736333.333333312,6423465.963643146,0.9849685602989794,0.4358930962231552,60.27501600900844,0.1874382164292318,false,false,1.4476254047831663
39,30,15,150,4,false,false,0.8976852539268334,35318987.30669981,16818999.999999896,6521493.398422128,0.9999999999999992,0.3877456090387162,55.29037350483616,0.21527398604255024,false,false,1.5007048490080999
40,30,15,210,4,false,false,0.8866260753665327,37125544.68605866,14122166.666666653,9122089.646685535,0.9991236548115772,0.6459412257339321,70.34509586550806,0.14170179840786543,false,false,1.6742690995083302
41,30,15,210,4,false,false,0.8104804864346833,31534894.053338487,11689333.33333343,7944261.291689328,0.8701185456355123,0.6796162847914846,82.81619705405413,0.10021374559348771,false,false,1.5903105168196556
42,30,15,210,4,false,false,0.810887776345792,39951204.35225622,16274499.999999918,9129269.896985443,0.9999100928098831,0.5609554761734916,65.36974397500262,0.16270342376942964,false,false,1.5345466762887132
43,30,15,210,4,false,false,0.9560534249465541,39634439.96271337,16030666.666666558,9130090.75779099,1.0000000000000002,0.5695390558382508,65.89218877463382,0.16035926461232175,false,false,1.6859517453971267
44,30,15,210,4,false,false,0.7558715249345198,43022421.62937988,18624833.3333332,9130090.757790985,0.9999999999999994,0.49021060185546433,60.70323103840687,0.18522187240993623,false,false,1.4313039991999204
45,30,15,210,4,false,false,0.7940712838276829,39402189.62938019,15852833.33333327,9130090.757790985,0.9999999999999994,0.575928010205811,66.28058045923072,0.15863850241246616,false,false,1.52863779644596
46,30,15,210,4,false,false,0.9621735452842323,37745677.01939185,14596999.999999944,9122089.646685539,0.9991236548115775,0.6249290708149328,69.18938024765829,0.14632468901628107,false,false,1.733427305115446
47,30,15,210,4,false,false,0.875581546753795,50454432.29604616,24315499.9999997,9130090.75779098,0.9999999999999991,0.3754843929917581,51.761557531282676,0.2374445770485557,false,false,1.4885105167941086
48,30,15,210,4,false,false,0.8552241252735189,31249319.453648712,13342999.99999998,6750867.799080251,0.7394086190566644,0.5059482724335053,83.57302001004268,0.09812895695302071,false,false,1.4593013546600448
49,30,15,210,4,false,false,0.8212412105080009,44026013.35272454,19405833.33333313,9122089.646685539,0.9991236548115776,0.47006946261960586,59.319475035737746,0.19247996753220853,false,false,1.4837906406598154
50,30,12,210,4,false,false,0.6763018787396611,34818141.29604727,12342000.000000061,9130090.757790986,0.9999999999999997,0.7397577992052294,75.00687580633381,0.12449069212085097,false,false,1.5405503700657417
51,30,12,210,4,false,false,0.810871543763327,40306319.35272507,16556833.333333258,9122089.646685539,0.9991236548115776,0.5509561800275162,64.79381005111378,0.1653273126560148,false,false,1.527155036446858
52,30,12,210,4,false,false,0.6200404781567779,38358836.86994369,15097499.99999997,9101790.403421381,0.9969003205860294,0.6028673888671237,68.08339910969343,0.15088979684663295,false,false,1.3737976638705345
53,30,12,210,4,false,false,0.6282047469070363,29657735.216250226,9208833.33333337,8608621.546892846,0.9428845534253691,0.93482216859459,88.05797141816271,0.08663470772897723,false,false,1.6496616232306036
54,30,12,210,4,false,false,0.9132642998027601,36891633.96271373,13929666.666666664,9130090.757790979,0.9999999999999989,0.6554421563897902,70.79111764579298,0.13995701564756335,false,false,1.7086634718401137
55,30,12,210,4,false,false,0.8751008251008242,41009887.2960467,17082999.9999999,9130090.757790985,0.9999999999999996,0.5344547654270936,63.68220378532362,0.17051191446364145,false,false,1.5800675049915593
56,30,12,210,4,false,false,0.8114102818301303,35071940.62938052,12536333.33333337,9130090.757790985,0.9999999999999996,0.7282903633006163,74.46408590838588,0.12638192185610472,false,false,1.666082566986851
57,30,12,210,4,false,false,0.885996954699246,38968750.42491534,15927999.999999918,8870106.926101647,0.9715245074133037,0.5568876774297898,67.01780199578143,0.1554228812348558,false,false,1.5983075133638915
58,30,12,210,4,false,false,0.7166431513433765,37547681.296047136,14432000.000000022,9130090.757790983,0.9999999999999993,0.6326282398691081,69.55422837987437,0.14484922582601428,false,false,1.4941206170384989
59,30,12,210,4,false,false,0.869192893620375,34339679.55333827,12981833.333333362,8488761.291689344,0.9297565070145245,0.6538954147479933,76.05196186946125,0.1209286597173851,false,false,1.6440169680857533
60,30,18,210,4,false,false,1.0,46454795.62937944,21253833.333333086,9130090.757790983,0.9999999999999993,0.42957383802723065,56.21809254819634,0.20979725187414908,false,false,1.6393710899013798
61,30,18,210,4,false,false,0.862548735091302,33072081.786982127,13790333.333333332,7355867.799080241,0.8056730205888972,0.5334075414478916,78.96690679532551,0.11152291552898796,false,false,1.5074791920681818
62,30,18,210,4,false,false,0.8423304932941137,32801198.956959177,12417166.666666722,8098899.930189821,0.8870557966007927,0.6522341326005491,79.61904085966093,0.1095208842814632,false,false,1.604085510176126
63,30,18,210,4,false,false,0.8489710035511566,37373455.35272532,14312833.333333319,9122089.646685531,0.9991236548115768,0.6373363983384753,69.87847324664239,0.14355045521491772,false,false,1.6298578571045494
64,30,18,210,4,false,false,0.8741180428244673,49536668.68605752,23626166.666666307,9122089.646685539,0.9991236548115775,0.3861011299626408,52.720541555816304,0.23120292574407939,false,false,1.4914220985311872
65,30,18,210,4,false,false,0.6657577327167642,34186597.68605895,11872666.666666754,9122089.646685535,0.9991236548115772,0.7683269397511485,76.39250983624473,0.1197901086640725,false,false,1.5538747811319853
66,30,18,210,4,false,false,0.7845658569839101,40721697.12997293,17079333.3333332,8992852.349100411,0.9849685602989796,0.5265341552617478,64.13288698809534,0.16839058572159957,false,false,1.4794905979672575
67,30,18,210,4,false,false,0.9185829680721898,39487285.62938011,15918833.333333245,9130090.75779099,1.0000000000000002,0.5735401939709385,66.13774429855634,0.1592691781481612,false,false,1.6513923401912893
68,30,18,210,4,false,false,0.6802458131600475,35910517.68605876,13192666.666666692,9122089.646685518,0.9991236548115754,0.6914515372190738,72.72521167284313,0.132636262112237,false,false,1.5043336124913584
69,30,18,210,4,false,false,0.9499840079094677,38333216.962713584,15035166.666666612,9130090.75779099,1.0,0.6072490555114801,68.12890247485053,0.15069919528816927,false,false,1.707932258709117
70,30,21,210,4,false,false,0.9752775283141242,44935688.29604609,20091499.999999747,9130090.757790979,0.9999999999999989,0.45442554103929994,58.11861571573603,0.19900884816532213,false,false,1.628711917518746
71,30,21,210,4,false,false,0.8449019155518925,40097453.0189229,16388166.666666586,9129269.896985441,0.9999100928098827,0.5570647457201122,65.13131890864805,0.16378457151115644,false,false,1.5657512327831613
72,30,21,210,4,false,false,0.811409545675198,45394372.42752976,20476499.999999765,9108555.43884693,0.9976412809559771,0.44482970423886087,57.531360394271594,0.2022818323586516,false,false,1.4585210822727106
73,30,21,210,4,false,false,0.9592394115808895,42305606.796900846,18261833.33333318,9012698.453018427,0.9871422631070356,0.4935264871007019,61.73177027190912,0.1800048657627657,false,false,1.6327707644443572
74,30,21,210,4,false,false,0.8599170296003635,49236277.01939105,23396999.999999695,9122089.646685544,0.9991236548115782,0.3898828758680884,53.0421908011334,0.2291463975856013,false,false,1.478946303054053
75,30,21,210,4,false,false,0.8811434278936507,43611621.96271304,19077666.666666485,9130090.75779098,0.999999999999999,0.47857481301649746,59.88312019747533,0.18948981445436083,false,false,1.5492080553645091
76,30,21,210,4,false,false,0.9110483266733268,41533340.629379846,17486333.33333318,9130090.757790986,0.9999999999999997,0.5221272283759355,62.879603721368056,0.1743560756687294,false,false,1.6075316307179919
77,30,21,210,4,false,false,0.8995345378315748,41203927.18265369,17236999.999999862,9128243.947935998,0.9997977227276283,0.5295726604360429,63.38230791504382,0.17193828678617898,false,false,1.6010454850537965
78,30,21,210,4,false,false,0.8845076592367607,45788070.96271292,20744166.66666646,9130090.75779099,1.0000000000000002,0.4401281046619249,57.03668979911234,0.20508054092932942,false,false,1.5297163048280151
79,30,21,210,4,false,false,0.8729029863187792,44514285.62937965,19768833.33333314,9130090.757790977,0.9999999999999986,0.4618426694101523,58.66880627365007,0.19599050532253512,false,false,1.5307361610514665
80,30,24,210,4,false,false,0.8050263088206518,38539323.962713495,15194666.66666659,9130090.757791,1.000000000000001,0.6008746988718221,67.76455141057231,0.15223214548648023,false,false,1.5581331531789542
81,30,24,210,4,false,false,0.8699909006476061,39628745.629380204,16028833.333333272,9130090.757790977,0.9999999999999986,0.5696041981298916,65.90165695438505,0.1603170948707099,false,false,1.5999121936482075
82,30,24,210,4,false,false,0.7583382266588365,38026760.36369534,14980166.666666612,9016656.595263775,0.9875757902592133,0.601906293561296,68.67795139586305,0.1484182656234142,false,false,1.5086627858435468
83,30,24,210,4,false,false,0.9022971764552352,40397326.62938006,16617333.333333237,9130090.757790983,0.9999999999999993,0.5494317634873848,64.64784226837037,0.16599901965370226,false,false,1.617727959596322
84,30,24,210,4,false,false,0.9518747881078193,41921993.53660992,17829166.666666534,9101790.403421389,0.9969003205860303,0.5105000459969968,62.29665575706281,0.17720240655053593,false,false,1.6395772406553522
85,30,24,210,4,false,false,0.8883694850749867,41923981.98139782,18600999.999999896,8610806.563233213,0.9431238737561667,0.46292170115764,62.29370104106042,0.1772169511136895,false,false,1.528508137346316
86,30,24,210,4,false,false,0.8704919107983752,36017122.22904078,13737166.666666664,8828135.299678264,0.9669274417830889,0.6426460065524138,72.50995744169295,0.13343170774631793,false,false,1.646569625097107
87,30,24,210,4,false,false,0.8838235294117643,40426058.62938003,16639333.33333323,9130090.75779098,0.999999999999999,0.5487053221958634,64.60189512766388,0.1662110210344182,false,false,1.5987398726420459
88,30,24,210,4,false,false,0.8251221237974693,36349838.79664016,13733500.000000019,8992852.349100411,0.9849685602989797,0.6548113990680016,71.84626084893098,0.13591447273429397,false,false,1.6158479955997649
89,30,24,210,4,false,false,0.888957601188463,44360686.52944108,19677166.66666649,9114091.522421554,0.9982476367657372,0.4631810908966384,58.871947310074795,0.19488768324406508,false,false,1.5470263753291664
90,30,21,180,4,false,false,0.8523648721472084,39718003.96803962,18142666.666666493,7825792.07810655,0.9999999999999986,0.43134739902843894,57.46008791973651,0.20268270479246026,false,false,1.4863949759681074
91,30,21,180,4,false,false,0.8044443477588259,38839283.634706445,17469833.333333198,7825792.078106548,0.9999999999999983,0.4479603170096991,58.760095100225946,0.19549414205959842,false,false,1.4478988068281233
92,30,21,180,4,false,false,0.9034725134915987,37591835.968039915,16514666.66666656,7825792.078106553,0.999999999999999,0.4738692118989143,60.709990380366,0.18518709850866102,false,false,1.562528823899174
93,30,21,180,4,false,false,0.8749171100316125,40376759.397573344,18657833.33333315,7818933.982873309,0.9991236548115765,0.419069773171593,56.522614346736326,0.2080300745099458,false,false,1.5020169577131512
94,30,21,180,4,false,false,0.8882452551859694,40879255.63470625,19031833.33333315,7825792.078106547,0.9999999999999982,0.4111948618423495,55.82782671958502,0.212083977082007,false,false,1.5115240941103258
95,30,21,180,4,false,false,0.9287040212444342,38758190.0642402,17418499.999999866,7818933.982873309,0.9991236548115765,0.4488867573484152,58.883038558233544,0.19482764950194612,false,false,1.5724184280947955
96,30,21,180,4,false,false,1.0,33023447.968040466,13016666.666666694,7825792.078106548,0.9999999999999983,0.6012132198289268,69.1084711144843,0.1466539200624076,false,false,1.7478671398913344
97,30,21,180,4,false,false,0.9646060476718311,40805345.064239904,18985999.99999979,7818933.982873309,0.9991236548115765,0.4118262921559778,55.928947455465206,0.21148908830549196,false,false,1.587921428133301
98,30,21,180,4,false,false,0.9264428189917981,36725087.30137331,15850999.999999903,7825792.078106537,0.999999999999997,0.49370967624166207,62.142806667056135,0.17796131672368662,false,false,1.598113811957147
99,30,21,180,4,false,false,0.9053484047758853,32029799.634707242,12255833.3333334,7825792.078106547,0.9999999999999982,0.6385361048295238,71.2523970186509,0.13817514242322645,false,false,1.6820596520286357
100,30,24,180,4,false,false,0.8240043933016538,36770852.83674533,15902333.333333258,7815945.42219568,0.9987417687803861,0.49149676706955275,62.0654628309133,0.17834406692659888,false,false,1.4938452272978053
101,30,24,180,4,false,false,0.9605122050995254,40605999.44473833,19007999.999999814,7708159.156371771,0.9849685602989787,0.4055218411390913,56.20351749021472,0.20988220815720598,false,false,1.5759162543958227
102,30,24,180,4,false,false,1.0,38620299.301373184,17302999.99999988,7825792.078106548,0.9999999999999983,0.4522794936199851,59.09327584933693,0.19369318650256168,false,false,1.645972680122547
103,30,24,180,4,false,false,0.8843685577642793,37045315.128359295,16125999.999999912,7807333.233297361,0.9976412809559763,0.4841456798522512,61.60563062002158,0.1806366873380775,false,false,1.549150924954608
104,30,24,180,4,false,false,0.6219328107789646,30551395.968040593,11124666.666666742,7825792.078106551,0.9999999999999989,0.7034630620938304,74.70035092299477,0.1255552035925639,false,false,1.4509510764653588
105,30,24,180,4,false,false,0.9802160606942821,42997454.39757313,20665333.333333068,7818933.982873306,0.9991236548115761,0.37835992561810794,53.077560799246115,0.22892137182398742,false,false,1.5874973581363774
106,30,24,180,4,false,false,0.8617955762186514,35347559.39757397,14807833.333333295,7818933.982873321,0.9991236548115779,0.5280268765095056,64.56457076232074,0.166383435977649,false,false,1.5562058887058061
107,30,24,180,4,false,false,0.9878230465186986,52394898.968040586,27850166.666666623,7825792.078106548,0.9999999999999983,0.2809962386140081,43.55767536439144,0.2982165356075455,false,false,1.5670358207402522
108,30,24,180,4,false,false,0.9169247575334342,35627696.39757397,15022333.333333299,7818933.982873313,0.999123654811577,0.5204873177406971,64.05690602425264,0.16874636323298242,false,false,1.6061584385071137
109,30,24,180,4,false,false,0.8805222565059965,30961140.730907742,11449166.666666757,7818933.982873305,0.9991236548115758,0.682926033877858,73.71175435153576,0.12905085442099284,false,false,1.6924991448048474
110,30,21,150,4,false,false,0.8680432764821896,33418660.950167403,15497166.666666605,6437641.752156018,0.987142263107036,0.4154076606792238,58.434417911356135,0.1972707210055931,false,false,1.4807216581670064
111,30,21,150,4,false,false,0.8933815543430925,40095876.640033126,20478333.333333172,6521493.398422128,0.9999999999999992,0.3184582110403929,48.70326237113011,0.25849772154854256,false,false,1.4703374869320278
112,30,21,150,4,false,false,0.8055109334479742,35891789.77418775,17493666.666666523,6372097.498383775,0.9770917655035114,0.36425168146855974,54.407986124013036,0.2206157126342844,false,false,1.3903783275508184
113,30,21,150,4,false,false,0.9458672699849175,35949152.7757557,17312166.666666556,6515778.319061102,0.9991236548115785,0.3763698931807772,54.321168907128694,0.22114838917944213,false,false,1.5433855523451367
114,30,21,150,4,false,false,0.9176504157420193,38546742.97336619,19292166.66666647,6521493.398422128,0.9999999999999992,0.33803841274552854,50.660570760784736,0.24481852022580072,false,false,1.5005073487133485
115,30,21,150,4,false,false,0.9495091802624352,44211735.64003291,23629833.33333306,6521493.398422128,0.9999999999999992,0.275985585950904,44.16926799480307,0.29319302133750036,false,false,1.5186877875508396
116,30,21,150,4,false,false,0.9027785554579921,36860507.962397635,18006999.999999866,6517683.079094631,0.999415729021757,0.3619527449933181,52.97810876594816,0.22955465437990613,false,false,1.4942859548312164
117,30,21,150,4,false,false,0.9024365060175555,31944364.584945105,14237666.666666666,6520907.069275314,0.999910092809883,0.45800391468232016,61.131283259906354,0.18303256307602528,false,false,1.543472983775901
118,30,21,150,4,false,false,0.8560055285668544,37397589.393097386,18463499.999999847,6488836.046737266,0.994992350725561,0.3514412785624242,52.21726939331645,0.23445779045199847,false,false,1.441904597581277
119,30,21,150,4,false,false,0.9475834193326441,34991737.95016727,16701666.66666657,6437641.75215602,0.9871422631070361,0.3854490620989557,55.80745954319383,0.21220399857937444,false,false,1.5452364800109741
